Jan 2, 2022 - 100
Jan 9, 2022 - 76
Jan 16, 2022 - 76
Jan 23, 2022 - 39
Jan 30, 2022 - 29
Feb 6, 2022 - 24
Feb 13, 2022 - 20
Feb 20, 2022 - 17
Feb 27, 2022 - 16
Mar 6, 2022 - 15
Mar 13, 2022 - 15
Mar 20, 2022 - 13
Mar 27, 2022 - 13
Apr 3, 2022 - 13
Apr 10, 2022 - 14
Apr 17, 2022 - 14
Apr 24, 2022 - 14
May 1, 2022 - 16
May 8, 2022 - 18
May 15, 2022 - 21
May 22, 2022 - 18
May 29, 2022 - 18
Jun 5, 2022 - 17
Jun 12, 2022 - 16
Jun 19, 2022 - 17
Jun 26, 2022 - 17
Jul 3, 2022 - 18
Jul 10, 2022 - 20
Jul 17, 2022 - 20
Jul 24, 2022 - 18
Jul 31, 2022 - 15
Aug 7, 2022 - 15
Aug 14, 2022 - 14
Aug 21, 2022 - 13
Aug 28, 2022 - 13
Sep 4, 2022 - 12
Sep 11, 2022 - 11
Sep 18, 2022 - 11
Sep 25, 2022 - 9
Oct 2, 2022 - 10
Oct 9, 2022 - 9
Oct 16, 2022 - 10
Oct 23, 2022 - 9
Oct 30, 2022 - 8
Nov 6, 2022 - 8
Nov 13, 2022 - 8
Nov 20, 2022 - 9
Nov 27, 2022 - 9
Dec 4, 2022 - 9
Dec 11, 2022 - 11
Dec 18, 2022 - 11
Dec 25, 2022 - 11
